uuid, study, function, error_line, error_message, L_ij, E_ij, K_ij, F_ij compiling, F_ij passing tests
549eca81-c8f8-4237-9237-220ab72ac8cf,Deactive,list_add_item_at_pos,add_item_at_pos.c:55:29,SEGV on,26,1,0.0385,19,11
599ce961-34d5-427d-83bd-8ca692a7e766,Deactive,list_add_item_at_pos,add_item_at_pos.c:41:21,stack-use-after-scope on,26,5,0.1923,19,11
599ce961-34d5-427d-83bd-8ca692a7e766,Deactive,list_add_item_at_pos,add_item_at_pos.c:41:21,SEGV on,26,5,0.1923,19,11
599ce961-34d5-427d-83bd-8ca692a7e766,Deactive,list_add_item_at_pos,add_item_at_pos.c:42:17,stack-use-after-scope on,26,5,0.1923,19,11
599ce961-34d5-427d-83bd-8ca692a7e766,Deactive,list_add_item_at_pos,add_item_at_pos.c:43:20,stack-use-after-scope on,26,5,0.1923,19,11
599ce961-34d5-427d-83bd-8ca692a7e766,Deactive,list_add_item_at_pos,add_item_at_pos.c:36,SEGV on,26,5,0.1923,19,11
599ce961-34d5-427d-83bd-8ca692a7e766,Deactive,list_item_to_string,item_to_string.c:34:5,SEGV on,17,1,0.0588,20,12
599ce961-34d5-427d-83bd-8ca692a7e766,Deactive,list_print,print.c:44:9,SEGV on,14,4,0.2857,24,9
599ce961-34d5-427d-83bd-8ca692a7e766,Deactive,list_print,print.c:44:9,BUS on,14,4,0.2857,24,9
599ce961-34d5-427d-83bd-8ca692a7e766,Deactive,list_print,print.c:44:9,libFuzzer: timeout,14,4,0.2857,24,9
599ce961-34d5-427d-83bd-8ca692a7e766,Deactive,list_print,print.c:45:9,libFuzzer: timeout,14,4,0.2857,24,9
599ce961-34d5-427d-83bd-8ca692a7e766,Deactive,list_add_item_at_pos,add_item_at_pos.c:41:21,stack-use-after-scope on,26,5,0.1923,19,11
599ce961-34d5-427d-83bd-8ca692a7e766,Deactive,list_add_item_at_pos,add_item_at_pos.c:41:21,SEGV on,26,5,0.1923,19,11
599ce961-34d5-427d-83bd-8ca692a7e766,Deactive,list_add_item_at_pos,add_item_at_pos.c:42:17,stack-use-after-scope on,26,5,0.1923,19,11
599ce961-34d5-427d-83bd-8ca692a7e766,Deactive,list_add_item_at_pos,add_item_at_pos.c:43:20,stack-use-after-scope on,26,5,0.1923,19,11
599ce961-34d5-427d-83bd-8ca692a7e766,Deactive,list_add_item_at_pos,add_item_at_pos.c:36,SEGV on,26,5,0.1923,19,11
5a790fe9-4950-4f24-903a-a7440f7f826f,Active,list_add_item_at_pos,add_item_at_pos.c:62:25,stack-buffer-overflow on,35,7,0.2,28,18
5a790fe9-4950-4f24-903a-a7440f7f826f,Active,list_add_item_at_pos,add_item_at_pos.c:56:32,stack-buffer-overflow on,35,7,0.2,28,18
5a790fe9-4950-4f24-903a-a7440f7f826f,Active,list_add_item_at_pos,add_item_at_pos.c:57:35,stack-buffer-overflow on,35,7,0.2,28,18
5a790fe9-4950-4f24-903a-a7440f7f826f,Active,list_add_item_at_pos,add_item_at_pos.c:58:38,stack-buffer-overflow on,35,7,0.2,28,18
5a790fe9-4950-4f24-903a-a7440f7f826f,Active,list_add_item_at_pos,add_item_at_pos.c:58:31,stack-buffer-overflow on,35,7,0.2,28,18
